"Country","Fertility_rate","Education","GDP","Female_labor_participation","Female_life_expectancy","Healthcare","Urbanization","Female_political_participation","Crime_Rate"
"Albania",1.348,9.858658,44899289062,53.207,81.446,6.19368,1773980,0.897,42.53
"Algeria",2.766,6.900562,673065187500,14.132,77.696,3.62304,34746884,0.624,52.03
"Angola",5.124,4.535401,227166125000,9.09999999999999,67.144,2.92738,25242775,0.741,66.48
"Argentina",1.5,11.453163,1242508500000,52.957,79.875,9.86305,42106172,0.856,63.82
"Armenia",1.714,11.356138,61470128906,56.786,79.454,9.96213,1889415,0.879,22.79
"Australia",1.638,12.95,1701675500000,62.374,85.737,9.92688,23085836,0.916,43.03
"Austria",1.317,12.122934,573871937500,55.812,84.319,11.15729,5436137,0.927,25.54
"Azerbaijan",1.67,10.98,210945484375,60.952,77.134,3.97841,5846344,0.657,32.02
"Bahamas",1.373,12.902478,13737912109,66.733,78.187,7.21692,334032,NA,62.06
"Bahrain",1.824,12.1,84470015625,43.096,81.987,3.83745,1417287,0.553,25.64
"Bangladesh",2.163,6.24,1360665750000,43.712,76.373,2.39039,69397835,0.688,63.9
"Belarus",1.208,12.3751,261406296875,57.385,79.065,6.6592,7409732,0.721,59.58
"Belgium",1.379,12.6914215,680784250000,49.831,84.329,10.76192,11573953,0.947,44.58
"Belize",2.007,8.75497,4871197753,49.182,76.495,4.23174,191608,NA,50.39
"Bolivia",2.547,9.362865,118029375000,71.909,71.145,8.43143,8716127,0.816,57.77
"Botswana",2.732,10.426,45587988281,63.426,71.698,5.72839,1807279,0.7,52.98
"Brazil",1.619,8.631352,3951004250000,53.205,78.983,9.14277,185356223,0.81,67.49
"Brunei",1.747,9.272,38622917968,53.527,77.555,1.81768,363254,NA,29
"Bulgaria",1.749,11.56068,191771515625,51.043,79.213,7.66358,4944604,0.906,38.21
"Cambodia",2.579,4.37363,100914046875,73.986,73.187,4.7109,4455286,0.519,51.13
"Cameroon",4.322,5.680114,137202734375,57.148,65.944,4.47836,16829259,0.789,65.24
"Canada",1.349,13.94,2.165437e+12,61.134,84.83,11.23433,32813142,0.872,41.89
"Chile",1.167,11.209574,515928281250,51.963,83.084,10.06173,17302134,0.907,53.42
"Colombia",1.645,9.202619,915366375000,51.859,80.452,7.57361,43088562,0.815,56.87
"Costa Rica",1.33,8.934796,128208718750,44.088,83.42,7.18368,4218287,0.917,54.22
"Croatia",1.468,11.892606,142371109375,47.144,81.688,7.21545,2260811,0.918,24.59
"Cyprus",1.389,12.550852,32687408203,62.475,83.668,8.87061,900959,0.851,31.28
"Denmark",1.511,13.239645,391999718750,59.812,83.855,9.47586,5262755,0.96,26.22
"Dominican Republic",2.243,9.888704,261550375000,52.482,76.975,4.57255,9568800,0.816,61.02
"Ecuador",1.823,8.92,255126953125,52.521,80.139,7.53457,11649655,0.798,55.23
"Egypt",2.75,10.672949,1955516750000,15.3,73.809,4.70438,49364918,0.553,46.83
"El Salvador",1.775,7.03,70951843750,46.622,76.264,9.8408,4757015,0.533,67.79
"Estonia",1.35,13.744833,51206734375,61.049,83.043,6.98701,956597,0.946,23.71
"Ethiopia",3.989,1.7149712,406073656250,57.378,70.726,2.85275,29801135,0.739,49.3
"Fiji",2.281,10.43344,12859666992,38.593,69.362,4.0091,542593,0.648,57.62
"Finland",1.28,13.184396,289576125000,57.489,84.665,9.65892,4789488,0.941,27.59
"France",1.639,11.629541,3533407500000,51.826,86.088,11.8819,55843458,0.932,51.99
"Georgia",1.81,12.76,89425976562,55.037,79.107,7.2557,2256301,0.88,23.38
"Germany",1.441,14.04878,5071455500000,55.848,83.756,12.60513,65246330,0.952,35.79
"Ghana",3.397,6.13772,214890328125,61.815,67.943,3.69936,20015284,0.818,46.98
"Greece",1.334,11.229697,351551781250,44.673,84.331,8.49984,8394500,0.913,45.85
"Guatemala",2.311,5.34519,221287953125,40.412,74.877,7.44099,9623926,0.723,58.67
"Guyana",2.412,8.763143,35933109375,40.327,73.944,3.00637,224454,0.841,68.74
"Honduras",2.5,6.9851193,68596500000,39.675,75.501,8.2821,6409478,0.792,74.54
"Hungary",1.486,12.194188,339900312500,53.938,80.189,6.68982,6989250,0.853,34.36
"Iceland",1.54,13.991489,24492322265,70.368,84.506,9.28594,369913,0.901,23.75
"Indonesia",2.127,8.371634,3.924527e+12,52.545,73.268,2.69395,164698646,0.682,45.93
"Iran",1.695,10.876478,1341823750000,13.592,79.628,5.34889,70001569,0.319,49.38
"Iraq",3.249,5.551597,6.18051e+11,10.872,74.055,4.29332,32272568,0.539,48.42
"Ireland",1.598,11.946053,688778187500,59.968,84.478,6.11979,3421597,0.921,45.51
"Israel",2.83,13.586757,408450156250,61.825,84.59,7.34162,9145190,0.879,31.47
"Italy",1.198,10.712929,3.004023e+12,41.313,85.746,9.02753,42459374,0.925,44.85
"Jamaica",1.358,10.22172,26849064453,61.172,73.994,7.77706,1629412,0.941,67.42
"Japan",1.208,12.364048,5.505348e+12,54.847,87.741,11.42184,114608860,0.8,22.19
"Jordan",2.639,9.67,106258539062,14.004,80.192,6.8282,10526364,0.59,39.96
"Kazakhstan",3.012,12.568968,697153625000,66.596,78.394,3.74027,11827851,0.736,53.77
"Kenya",3.208,7.99832,315389781250,62.434,65.92,4.32604,16336074,0.754,60.14
"Kuwait",1.525,8.432178,266112468750,48.865,81.846,4.26876,4853420,0.423,33.42
"Kyrgyzstan",2.8,11.973013,69961773437,53.068,75.249,4.92259,2683776,0.731,56.87
"Latvia",1.338,13.733463,65017234375,55.383,80.472,7.62168,1289260,0.948,38.77
"Lebanon",2.239,13.05,74007835937,27.537,79.734,5.735,5163350,0.599,46.77
"Lithuania",1.201,13.707578,119061460937,57.914,80.675,7.24335,1972607,0.927,33.42
"Luxembourg",1.396,12.789345,62787980468,57.213,83.836,5.55155,613635,0.908,34.13
"Malaysia",1.55,10.98,1067653875000,51.573,79.37,3.90592,27650017,0.787,57.29
"Maldives",1.575,7.445564,9751831054,40.801,82.819,9.65276,220765,0.583,55.34
"Malta",1.098,12.233143,24939763671,55.016,85.259,9.52377,524784,0.907,40.39
"Mauritius",1.241,10.001608,35380136718,42.725,78.18,5.82382,515350,0.779,48.88
"Mexico",1.91,9.244912,2.59676e+12,47.317,77.811,5.72145,105844290,0.784,54.19
"Moldova",1.731,11.9,34878371093,69.917,75.535,6.96505,1066014,0.913,46.35
"Mongolia",2.685,9.95,52069988281,53.596,76.43,8.8517,2405088,0.787,56.01
"Montenegro",1.803,12.235967,16684541015,41.601,80.31,10.92242,427130,0.827,41.18
"Morocco",2.23,5.312,341819187500,19.709,77.6,5.68049,24558760,0.74,48.66
"Myanmar",2.115,6.09,396321937500,41.061,70.164,5.20476,17383445,0.34,46.51
"Namibia",3.212,7.544414,28737808593,55.408,71.337,9.29636,1626324,0.858,65.21
"Nepal",1.984,3.47218,150854171875,27.554,71.837,6.65589,6504011,0.767,36.01
"Netherlands",1.43,12.458841,1263538125000,62.937,83.739,10.10068,16657719,0.904,27.16
"New Zealand",1.667,12.898648,243953765625,66.932,83.77,10.02858,4562363,0.945,42.88
"Nicaragua",2.218,9.90445,50060164062,49.976,77.418,8.95365,4083864,0.567,47.89
"Nigeria",4.482,6.55647,1073451125000,8,54.743,4.2709,123701699,0.712,64.06
"North Macedonia",1.465,9.65,40753898437,41.898,79.57,7.62041,1087167,0.837,39.12
"Norway",1.405,13.291106,545170437500,61.765,84.849,7.94803,4636183,0.906,33.72
"Oman",2.525,12.27,220511968750,30.619,81.882,2.91622,4463554,0.367,20.34
"Pakistan",3.605,3.9663274,1396247125000,24.195,70.163,2.90434,94150710,0.578,42.51
"Panama",2.119,11.090746,164682671875,52.694,82.557,8.46561,3099373,0.763,45.15
"Paraguay",2.422,8.930453,102708289062,58.994,76.953,7.73804,4322010,0.705,49.37
"Peru",1.98,9.568984,485290687500,65.083,80.123,6.09309,26711638,0.806,66.72
"Philippines",1.916,10.16686,1161537875000,50.369,72.819,5.15676,55477513,0.806,42.46
"Poland",1.299,13.409087,1519751375000,51.867,82.354,6.39626,22092390,0.853,30.5
"Portugal",1.508,9.7331,382109656250,54.891,85.118,10.46883,7183215,0.893,29.91
"Qatar",1.729,12.73,347973156250,63.257,83.368,2.18112,2638874,0.268,12.13
"Romania",1.713,11.3,661586500000,42.008,79.555,5.74901,10420198,0.866,28.3
"Russia",1.449,12.48,5.705165e+12,55.199,79.037,6.91986,108345662,0.524,39.99
"Rwanda",3.698,4.49,43788382812,58.044,69.886,7.87921,2496734,0.631,33.4
"Saudi Arabia",2.28,11.036193,1964000500000,34.112,81.156,4.62462,28630470,0.365,25.23
"Serbia",1.5,11.367537,148602562500,49.949,80.042,9.65743,3782699,0.887,38.1
"Singapore",0.943,11.67,596790187500,61.973,86.236,4.89703,5917648,0.781,27.96
"Slovakia",1.56,13.109916,176676859375,55.721,81.581,7.73064,2931905,0.893,30.37
"Slovenia",1.576,13.031633,89182046875,53.532,84.337,9.60508,1189324,0.939,22.28
"South Africa",2.216,11.5,797735250000,52.929,69.599,8.77087,43502131,0.829,66.2
"South Korea",0.72,12.106892,2912405500000,56.038,87.158,9.43414,42123031,0.873,26.68
"Spain",1.213,10.689223,2193716250000,52.842,86.312,9.73829,39428688,0.955,33.32
"Sri Lanka",1.974,10.71,292659156250,31.619,80.593,4.3627,4233528,0.646,41.39
"Sweden",1.43,12.929423,628732125000,61.763,85.101,10.49857,9349997,0.927,48
"Switzerland",1.433,13.6105175,797972875000,62.294,85.833,11.70653,6595143,0.939,21.62
"Syria",2.712,5.112413,168128265625,13.441,74.412,4.15099,13545437,0.355,67.18
"Tanzania",4.606,5.51484,230598406250,8.09999999999999,69.775,3.11196,24920980,0.843,56
"Thailand",1.212,8.87,1651245625000,59.285,80.861,5.35471,38438241,0.704,39.35
"Tunisia",1.832,7.00762,147767093750,26.781,79.149,6.9638,8606672,0.762,43.69
"Turkey",1.625,8.280805,3121979750000,35.764,79.855,3.70339,66096052,0.614,39.62
"Uganda",4.283,5.2270985,146242171875,23.3,71.116,4.39089,13025859,0.66,56.12
"United Arab Emirates",1.2,12.83,812833625000,53.475,84.204,4.67551,9202532,0.573,15.23
"United Kingdom",1.56,13.55,3481523500000,57.365,83.208,11.05088,57972999,0.912,46.07
"Uruguay",1.409,10.79,90607570312,57.276,81.92,8.94532,3244799,0.883,51.73
"Uzbekistan",3.5,11.75,349168437500,39.626,75.401,7.36325,18015824,0.644,40.1
"Vietnam",1.913,8.52,1310143375000,69.533,79.264,4.58892,39619045,0.739,46.19
"Zambia",4.101,6.5608864,71113648437,53.931,68.673,5.25592,9602449,0.809,43.62
"Zimbabwe",3.724,8.315577,50540847656,59.677,65.013,3.62881,5313545,0.696,59.3
